Bill Number,Chapter No. (nnnn),XFile Bill Number,Sponsor,Synopsis,Title,Current Status,First Reading Date - House of Origin,Committee Primary - House of Origin,Hearing Date Primary - House of Origin,Hearing Time Primary - House of Origin,Committee Secondary - House of Origin,Hearing Date Secondary - House of Origin,Hearing Time Secondary - House of Origin,Report Date - House of Origin,Report Action - House of Origin,Second Reading Date - House of Origin,Second Reading Action - House of Origin,Third Reading Date - House of Origin,Third Reading Action - House of Origin,First Reading Date - Opposite House,Committee Primary - Opposite House,Hearing Date Primary - Opposite House,Hearing Time Primary - Opposite House,Committee Secondary - Opposite House,Hearing Date Secondary - Opposite House,Hearing Time Secondary - Opposite House,Report Date - Opposite House,Report Action - Opposite House,Second Reading Date - Opposite House,Second Reading Action - Opposite House,Third Reading Date - Opposite House,Third Reading Action - Opposite House,Interaction Between Chambers,Passed by MGA,Emergency Bill,Constitutional Amendment,Broad Subject Name,Broad Subject Code,year_session, status current as of
"HB0833","","","Delegate McIntosh","Requiring specified organizations that own property in Baltimore City that is not subject to property tax to submit a specified application to the State Department of Assessments and Taxation on or before specified dates; requiring specified organizations that own property in Baltimore City that is not subject to property tax to notify specified persons within 30 days after the property ceases to be used for a specified tax-exempt purpose; providing for a delayed effective date of July 1, 2015; etc.","Baltimore City - Tax-Exempt Property - Certification of Use","Returned Passed","2/5/2014","Ways and Means ","2/27/2014"," 1:00 p.m.","","","","3/14/2014 12:00:00 AM","Favorable with Amendments","3/11/2014","Passed with Amendments","3/12/2014","Passed","3/13/2014","Budget and Taxation ","3/26/2014"," 1:00 p.m.","","","","4/5/2014","Favorable","3/28/2014","Passed","3/29/2014","Passed","Returned Passed","Yes","","","Taxes - Property - Local","q2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0834","CH0066","SB0564","Delegate Frush","Increasing a specified penalty for specified violations of the water pollution control law from $5,000 to $10,000 for each violation and from $50,000 to $100,000 total.","Environment - Water Pollution Control - Penalty","Approved by the Governor - Chapter 66","2/5/2014","Environmental Matters ","2/19/2014"," 1:00 p.m.","","","","3/3/2014 12:00:00 AM","Favorable","3/3/2014","Passed","3/6/2014","Passed","3/7/2014","Education, Health, and Environmental Affairs ","","","","","","3/31/2014","Favorable","3/23/2014","Passed","3/24/2014","Passed","Returned Passed","Yes","","","Environment","m3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0835","","","Delegate Valentino-Smith","Repealing a requirement that, to be convicted of a specified offense of manslaughter, a person's failure to perceive a specified risk must constitute a gross deviation from a specified standard of care; altering the name of a violation of the Act to be criminal negligence resulting in death; etc.","Criminal Law - Motor Vehicles - Criminal Negligence Resulting in Death","Unfavorable Report by Judiciary","2/5/2014","Judiciary ","2/26/2014"," 1:00 p.m.","","","","3/10/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Criminal Law - Substantive Crimes","e1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0836","","","Garrett County Delegation","Repealing the authority of the Garrett County Board of License Commissioners to issue a Class A2 light wine license; and repealing specified provisions of law relating to a Class A2 light wine license in Garrett County.","Garrett County - Alcoholic Beverages - Class A2 Light Wine Licenses - Repeal","Returned Passed","2/5/2014","Economic Matters ","2/17/2014"," 1:00 p.m.","","","","3/7/2014 12:00:00 AM","Favorable","3/7/2014","Passed","3/8/2014","Passed","3/9/2014","Education, Health, and Environmental Affairs ","3/25/2014"," 1:00 p.m.","","","","4/1/2014","Favorable","3/24/2014","Passed","3/26/2014","Passed","Returned Passed","Yes","","","Alcoholic Beverages - Local Bills","a2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0837","","","Delegate Turner, V.","Specifying that 10% of the local impact grants provided to Prince George's County from proceeds of video lottery terminals is to be distributed to the Town of Forest Heights and that 2% of the grants is to be distributed to the Town of Morningside, as enacted by Chapter 1 of the Acts of the 2012 Second Special Session.","Prince George's County - Video Lottery Terminal Proceeds - Local Impact Grant Distribution","Unfavorable Report by Ways and Means; Withdrawn","2/5/2014","Ways and Means ","","","","","","3/3/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","Gaming","c7","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0838","","","Delegate James","Establishing the Task Force to Study Vocational and Technical Education Programs in Harford County; providing for the composition, chair, and staffing of the Task Force; requiring the Task Force, in consultation with a specified committee, to study and make recommendations regarding specified matters; requiring the Task Force to report its findings and recommendations to the Governor, the Harford County Executive, the Harford County Board of Education, and the General Assembly on or before December 1, 2014; etc.","Task Force to Study Vocational and Technical Education Programs in Harford County","Returned Passed","2/5/2014","Ways and Means ","2/26/2014"," 1:00 p.m.","","","","3/6/2014 12:00:00 AM","Favorable with Amendments","3/6/2014","Passed with Amendments","3/7/2014","Passed","3/7/2014","Education, Health, and Environmental Affairs ","3/26/2014"," 1:00 p.m.","","","","4/4/2014","Favorable","3/26/2014","Passed","3/28/2014","Passed","Returned Passed","Yes","","","Education - Local Bills","f3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0839","","","Delegate Serafini","Authorizing additional members of the Law Enforcement Officers' Pension System to participate in the Deferred Retirement Option Program for 2 years if the member has at least 29 years and fewer than 34 years of creditable service; and altering the formula for computing the normal service retirement allowance of specified members of the Law Enforcement Officers' Pension System who are participating in the Deferred Retirement Option Program.","Law Enforcement Officers' Pension System - Deferred Retirement Option Program - Expanded Eligibility ","Unfavorable Report by Appropriations","2/5/2014","Appropriations ","3/4/2014"," 1:00 p.m.","","","","4/3/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","State Pensions and Retirement","k4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0840","","SB0347","Delegate Braveboy","Repealing requirements for the holding of specified assets owned by a specified Methodist Church; and repealing provisions of law providing for the effect of the absence of a trust clause in a specified deed or other conveyance executed before a specified date.","Religious Corporations - Laws Governing Assets of United Methodist Church - Repeal","Unfavorable Report by Economic Matters","2/5/2014","Economic Matters ","2/26/2014"," 1:00 p.m.","","","","3/28/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Corporations and Associations","c1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0841","","","Delegate Smigiel","Prohibiting the State Board of Professional Counselors and Therapists and the State Board of Social Work Examiners from issuing a specified license or certificate to an individual who had a specified license or certificate revoked or surrendered a specified license or certificate because the individual was convicted of or pled guilty or nolo contendere to a specified felony or crime; authorizing a specified appeal if specified circumstances exist; etc.","State Board of Professional Counselors and Therapists and State Board of Social Work Examiners - Grounds for Denying Licenses and Certificates","Unfavorable Report by Health and Government Operations","2/5/2014","Health and Government Operations ","2/28/2014","12:30 p.m.","","","","3/15/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Health Occupations","j2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0842","","","Delegate Rosenberg","Requiring the Judiciary to include funding in its annual budget submission to the General Assembly beginning in fiscal year 2016 to provide specified drug treatment services and public transportation for Baltimore City Drug Treatment Court participants.","Public Safety - Drug Treatment Court - Baltimore City","Unfavorable Report by Judiciary; Withdrawn","2/5/2014","Judiciary ","","","","","","3/13/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","Public Safety","e4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0843","","","Delegate Hixson","Prohibiting a landlord from using a lease containing a provision that requires a tenant to carry renter's insurance naming the landlord as beneficiary; prohibiting a landlord renting four or more residential units from evicting a tenant in the absence of just cause; applying the Act prospectively; etc.","Residential Leases - Just Cause Evictions","Unfavorable Report by Environmental Matters","2/5/2014","Environmental Matters ","2/20/2014"," 1:00 p.m.","","","","3/3/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Real Property","n1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0844","","","Delegate Summers","Prohibiting counties from exceeding a specified income tax rate on the Maryland taxable income of specified individuals who are at least 65 years old and whose income does not exceed $75,000.","County Income Tax - Maximum Rate for Individuals at Least 65 Years Old","Hearing 2/25 at 1:00 p.m.","2/5/2014","Ways and Means ","2/25/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Taxes - Income","q3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0845","","","Delegate Smigiel","Requiring an appellate court or circuit court that contracts with a private entity for stenography services to require the entity to provide 5% of the stenography services free of charge for specified purposes to ensure access to court services by indigent clients.","Courts Administration - Contracts for Stenography Services - Pro Bono Requirement","Unfavorable Report by Judiciary","2/5/2014","Judiciary ","2/19/2014"," 1:00 p.m.","","","","3/13/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Courts and Court Personnel - Statewide","d1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0846","","","Delegate Hixson","Authorizing an owner of a life insurance policy with a face value of more than $10,000 to enter into a viatical settlement contract in exchange for payments to a health care provider for long-term care services for an individual; prohibiting the proceeds of specified viatical settlement contracts from being considered a resource or asset in determining an individual's eligibility for the Maryland Medical Assistance Program; etc.","Maryland Medical Assistance Program - Viatical Settlement Contracts - Long-Term Care Services","Unfavorable Report by Health and Government Operations; Withdrawn","2/5/2014","Health and Government Operations ","2/28/2014","12:30 p.m.","","","","3/31/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","Public Health","j1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0847","","SB0926","Delegate Rosenberg","Requiring the use of a drone by an agent of the State or a political subdivision of the State to fully comply with specified requirements and guidelines; prohibiting an agent of the State or a political subdivision of the State from operating a drone for the purpose of receiving or disclosing information acquired through the operation of a drone except in specified circumstances; providing exceptions to the prohibition against the use of specified drones and the acquisition and disclosure of specified information; etc.","Criminal Procedure - Government Drone Use - Limitations","Unfavorable Report by Judiciary","2/5/2014","Judiciary ","3/6/2014"," 1:00 p.m.","","","","3/13/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Criminal Law - Procedure","e2","2014 Regular Session","4/9/2014 6:00:56 PM"
